Nilai Pasar Agunan,DBR,plafon,Collateral Coverage,tenor,usia,jenis_pinjaman,alamat_kota,Penilaian Rekening Koran,tujuan_penggunaan,gaji(Penghasilan),pendidikan,sandi_pengikatan,Riwayat Slik,jenis_usaha,Restruktur,kualitas_kredit,risk_score
750605000.0,35.47,100000000.0,7.50605,60.0,51.0,3,21,3,2,1,1,2,2,4,0,1,1
2609000000.0,72.27,999999999.9999999,2.609,96.0,43.0,3,5,8,2,1,3,2,1,0,0,2,3
766800000.0,1.3100000000000023,200000000.0,3.834,4.0,51.0,9,17,7,2,1,1,2,1,6,1,1,1
596000000.0,24.8,300000000.0,1.9866666666666664,60.0,46.0,3,15,4,2,1,1,2,1,6,0,1,1
408320000.0,69.16,245000000.0,1.6666122448979594,60.0,43.0,3,0,9,2,1,4,2,2,3,0,1,1
202000000.0,28.44,100000000.0,2.02,36.0,37.0,3,21,4,2,1,4,2,2,6,0,4,4
10025000000.0,58.8,1300000000.0,7.711538461538462,96.0,49.0,13,18,6,1,6,3,2,2,5,0,1,3
827000000.0,75.2,500000000.0,1.654,7.0,40.0,3,21,3,2,1,1,1,2,3,0,1,1
886800000.0,43.33,100000000.0,8.868,36.0,50.0,3,14,8,2,6,0,2,2,3,0,1,1
22500000.0,24.54,9999999.999999985,2.25,12.0,36.0,3,17,9,2,2,1,3,2,3,0,1,1
134280000.0,42.0,20000000.0,6.714,24.0,32.0,13,1,0,1,1,1,3,4,0,0,5,6
8500000.0,43.82,18000000.0,0.4722222222222223,36.0,53.0,13,1,0,1,1,1,5,2,0,0,2,2
22000000.0,9.119999999999997,12500000.0,1.7599999999999998,24.0,32.0,13,1,0,1,1,1,3,1,0,0,1,2
14500000.0,47.0,35000000.0,0.4142857142857146,24.0,27.0,13,1,0,1,1,3,2,2,0,0,1,2
20500000.0,65.91,9999999.999999985,2.05,24.0,21.0,13,1,2,1,1,1,3,1,0,0,1,2
100000000.0,42.96,50000000.0,2.0,36.0,37.0,3,21,6,1,1,4,3,0,6,0,4,4
250000000.0,42.0,371600000.0,0.6727664155005382,120.0,50.0,14,7,0,1,1,1,2,0,3,0,5,6
844300000.0,6.969999999999999,75000000.0,11.257333333333332,4.0,52.0,9,17,6,2,1,1,2,1,6,1,2,3
201320000.0,55.5,50000000.0,4.0264,36.0,46.0,13,17,6,1,1,1,2,1,6,0,1,2
1841000000.0,85.22,900000000.0,2.045555555555556,120.0,61.0,10,26,6,0,5,3,2,2,6,0,1,3
163000000.0,43.23,100000000.0,1.6300000000000003,12.0,40.0,3,3,6,2,1,1,1,2,3,0,1,1
117500000.0,38.07,20000000.0,5.875,36.0,31.0,3,1,0,2,1,1,2,0,6,0,2,2
910800000.0,29.75,300000000.0,3.036,6.0,52.0,9,17,4,2,1,1,3,1,0,1,2,3
1512000000.0,79.13,850000000.0,1.7788235294117647,60.0,70.0,10,18,8,0,6,4,2,1,6,0,1,3
1876300000.0,58.8,1250000000.0,1.5010399999999997,84.0,49.0,14,18,9,1,6,3,2,2,5,0,1,3
532400000.0,38.35,175000000.0,3.0422857142857147,36.0,33.0,14,22,8,1,2,1,2,2,0,0,1,1
0.009999990463256836,51.76,75000000.0,1.333333443653828e-10,36.0,52.0,14,21,9,1,1,3,4,1,6,0,1,1
4362000000.0,80.16,999999999.9999999,4.362,96.0,48.0,14,20,8,1,6,3,2,1,3,0,1,3
1205000000.0,36.0,380000000.0,3.171052631578948,48.0,40.0,12,9,2,1,3,3,2,1,3,0,2,3
550000000.0,39.06,320000000.0,1.71875,24.0,38.0,5,0,8,2,1,2,2,3,6,0,1,1
450000000.0,48.0,200000000.0,2.25,60.0,32.0,0,21,2,1,3,3,2,1,0,0,2,3
310000000.0,10.0,82000000.0,3.7804878048780486,36.0,35.0,12,17,2,1,2,3,2,1,0,0,1,1
276000000.0,38.0,100000000.0,2.76,48.0,45.0,12,25,2,1,2,1,2,3,0,0,1,1
623000000.0,25.0,56000000.0,11.125,36.0,38.0,12,20,2,1,2,1,2,1,0,0,1,1
1379000000.0,46.02,450000000.0,3.0644444444444447,48.0,48.0,14,21,9,1,1,3,2,1,0,0,1,1
705000000.0,13.009999999999998,75000000.0,9.4,3.0,42.0,8,18,9,2,2,1,2,1,6,0,5,3
638000000.0,14.0,85000000.0,7.505882352941176,60.0,45.0,12,16,2,1,2,2,2,4,0,0,1,1
919000000.0,49.0,170000000.0,5.405882352941177,36.0,52.0,12,13,2,1,2,4,2,1,0,0,1,1
693000000.0,70.0,192000000.0,3.609375,60.0,50.0,12,19,9,1,2,2,2,3,3,0,3,3
305000000.0,54.2,49000000.0,6.224489795918367,60.0,38.0,12,14,9,1,1,3,2,3,3,0,1,1
285000000.00000006,46.38,140000000.0,2.0357142857142856,48.0,27.0,0,25,2,2,2,1,2,2,3,0,1,1
940000000.0,53.0,300000000.0,3.1333333333333333,60.0,40.0,12,25,2,1,2,3,2,2,0,0,1,1
208000000.0,33.0,93000000.0,2.236559139784946,36.0,24.0,12,0,2,1,1,1,2,2,0,0,1,2
1283000000.0,33.0,350000000.0,3.665714285714286,48.0,42.0,12,20,2,1,4,3,2,3,6,0,1,1
1650000000.0,34.0,855000000.0,1.9298245614035086,60.0,33.0,12,12,2,1,6,3,2,3,6,0,2,3
